,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy,PurchYear
15,2005,5,FORD,TAURUS,SEL,4D SEDAN SEL FFV,SILVER,AUTO,Alloy,66695,AMERICAN,MEDIUM,FORD,4668,5538,7714,8713,3566,4775,6591,8258,33619,6000,0,825,0,2010
16,2006,4,FORD,FOCUS,ZX4,4D SEDAN ZX4 SE,RED,AUTO,Alloy,88832,AMERICAN,COMPACT,FORD,5241,6547,8582,9440,5218,6367,8921,9971,33619,5800,0,1243,0,2010
17,2007,3,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,SILVER,AUTO,Alloy,58384,AMERICAN,LARGE,GM,8186,9635,11287,12886,7785,9492,11285,13220,33619,8300,0,1500,0,2010
18,2004,6,FORD,EXPEDITION 2WD V8,XLT,4D SUV 4.6L XLT,BLUE,AUTO,Alloy,80906,AMERICAN,LARGE SUV,FORD,8817,10563,12228,13965,8091,9707,11643,13460,33619,9500,0,1113,0,2010
19,2005,5,MAZDA,MAZDA3,s,5D SEDAN GS,SILVER,MANUAL,Alloy,75108,OTHER ASIAN,MEDIUM,OTHER,6264,7477,9640,10930,5535,7532,9343,10966,33619,7400,0,1038,0,2010
20,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,GREEN,AUTO,Alloy,73870,AMERICAN,MEDIUM,CHRYSLER,5116,6138,7862,9432,4820,5937,8082,9233,33619,5500,0,1155,0,2010
21,2005,5,CHEVROLET,COBALT,Bas,4D SEDAN,BLACK,AUTO,Alloy,69430,AMERICAN,COMPACT,GM,4481,5568,7335,8281,4009,5044,6971,8771,33619,5600,0,728,1,2010
22,2005,5,CHEVROLET,COBALT,Bas,4D SEDAN,GOLD,AUTO,Covers,75101,AMERICAN,COMPACT,GM,4245,5299,7010,8183,4224,5207,7590,8399,33619,5135,0,803,0,2010
23,2005,5,CHRYSLER,PACIFICA FWD,Tou,4D SPORT TOURING,SILVER,AUTO,Alloy,85334,AMERICAN,CROSSOVER,CHRYSLER,7592,9194,10292,13662,7228,8967,10679,12522,33619,8335,0,1503,0,2010
24,2002,8,PONTIAC,SUNFIRE,SE,2D COUPE SE,WHITE,AUTO,Covers,93395,AMERICAN,COMPACT,GM,2773,3768,4988,5905,2562,3583,4576,5709,33619,3100,0,1641,0,2010
25,2006,4,SUZUKI,FORENZA,Bas,4D SEDAN,GOLD,MANUAL,Covers,53463,OTHER ASIAN,MEDIUM,OTHER,4169,5138,7564,8488,3789,4903,7148,8730,33619,4300,0,505,0,2010
26,2005,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,RED,MANUAL,Covers,73516,AMERICAN,COMPACT,FORD,3656,4485,6635,7420,3612,4711,6925,7961,33619,5500,0,1155,0,2010
27,2006,4,CHRYSLER,PT CRUISER,Bas,4D SEDAN,RED,AUTO,Covers,66568,AMERICAN,MEDIUM,CHRYSLER,5108,6069,8483,9557,4775,5796,8667,9390,33619,6150,0,1215,1,2010
28,2007,3,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,Covers,88528,AMERICAN,LARGE,GM,7814,9358,11185,12745,7370,8840,11066,12664,33619,6800,0,2152,0,2010
29,2004,6,TOYOTA,COROLLA,CE,4D SEDAN CE,SILVER,AUTO,Covers,74697,TOP LINE ASIAN,COMPACT,OTHER,4876,5748,8033,9497,4584,5345,6997,8242,33619,6800,0,569,0,2010
30,2005,5,MERCURY,SABLE,GS,4D SEDAN GS,SILVER,AUTO,Covers,41513,AMERICAN,MEDIUM,FORD,3922,4860,7481,8693,3043,4075,5550,6898,33619,5150,0,693,0,2010
31,2004,6,FORD,EXPEDITION 2WD V8,XLS,4D SUV 4.6L XLS,RED,AUTO,Alloy,92482,AMERICAN,LARGE SUV,FORD,7065,8576,10555,12937,7505,8825,11123,12386,33619,8100,0,1197,0,2010
32,2003,7,HYUNDAI,ELANTRA,GLS,4D SEDAN,BEIGE,AUTO,Covers,82444,OTHER ASIAN,MEDIUM,OTHER,2152,3065,4673,5867,2837,3745,5383,6294,33619,3700,0,894,0,2010
33,2006,4,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,BLUE,AUTO,Covers,97593,OTHER ASIAN,MEDIUM,OTHER,6060,7545,8988,10357,5545,6764,8949,10010,33619,6050,0,620,0,2010
34,2008,2,DODGE,AVENGER 4C,SE,4D SEDAN,GREY,AUTO,Covers,54696,AMERICAN,MEDIUM,CHRYSLER,7646,8799,11607,12875,7627,8618,10734,12074,33619,8800,0,920,0,2010
35,2004,6,MITSUBISHI,ENDEAVOR AWD,LS,4D SPORT UTILITY LS,SILVER,AUTO,Alloy,75878,OTHER ASIAN,MEDIUM SUV,OTHER,5584,6689,9409,10470,5526,7061,8850,10567,33619,7200,0,920,0,2010
36,2006,4,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,Covers,87839,AMERICAN,COMPACT,GM,4529,5607,7233,8483,4698,5835,7597,8838,33619,5000,0,853,0,2010
37,2007,3,CHRYSLER,300,Bas,4D SEDAN,WHITE,AUTO,Covers,66750,AMERICAN,SPECIALTY,CHRYSLER,9899,11476,14193,15739,10244,11923,14403,15902,33619,9500,0,1215,0,2010
38,2006,4,PONTIAC,G6 V6,Bas,4D SEDAN,BLUE,AUTO,Covers,84747,AMERICAN,MEDIUM,GM,5906,7176,9925,11271,6415,7923,9487,11454,33619,7250,0,1373,0,2010
39,2006,4,DODGE,STRATUS 4C,SXT,4D SEDAN,WHITE,AUTO,Alloy,67795,AMERICAN,MEDIUM,CHRYSLER,4324,5305,7702,8793,4725,6114,7608,9225,33619,5900,0,1020,0,2010
40,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.9L,GOLD,AUTO,Alloy,54790,AMERICAN,LARGE,GM,5998,7477,9119,11266,6647,8000,9419,11204,33619,7800,0,1500,0,2010
41,2005,5,KIA,SPECTRA,EX,4D SEDAN EX,MAROON,AUTO,Covers,25830,OTHER ASIAN,MEDIUM,OTHER,3384,4491,6170,8136,3638,4681,6560,7436,33619,6050,0,462,0,2010
42,2008,2,FORD,F150 PICKUP 2WD V8,XL,EXT CAB 4.6L FX2 SPORT,GREY,AUTO,Alloy,82010,AMERICAN,LARGE TRUCK,FORD,17110,18927,21858,23457,16043,18461,20551,22416,33619,9100,0,853,0,2010
43,2005,4,FORD,MUSTANG V6 4.0L V6 E,Bas,2D COUPE,BLUE,AUTO,Alloy,73576,AMERICAN,SPORTS,FORD,8780,10177,9982,11491,7870,9315,9000,10560,20166,9005,0,803,0,2009
44,2007,2,DODGE,CHARGER V6 2.7L V6 M,Bas,4D SEDAN 2.7L,SILVER,AUTO,Alloy,47662,AMERICAN,SPECIALTY,CHRYSLER,9846,11346,11134,12754,10310,11882,11635,13333,20166,10315,0,975,0,2009
45,2004,5,HYUNDAI,SONATA V6 2.7L V6 MP,GLS,4D SEDAN,GREY,AUTO,Alloy,73731,OTHER ASIAN,MEDIUM,OTHER,3501,4869,4281,5759,3456,4636,4232,5507,20166,5275,0,803,1,2009
46,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,GREY,AUTO,Covers,63761,AMERICAN,LARGE,GM,6821,8172,7867,9326,7203,8521,8279,9703,20166,7185,0,1703,0,2009
47,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,GREEN,AUTO,Alloy,88176,AMERICAN,MEDIUM SUV,GM,5524,6643,6466,7674,5554,6732,6498,7771,20166,5775,0,2452,1,2009
48,2003,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,BLACK,AUTO,Alloy,70788,AMERICAN,MEDIUM SUV,GM,5524,6643,6466,7674,5419,6794,6353,7838,20166,6985,0,2274,1,2009
49,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,GREY,AUTO,Alloy,49794,AMERICAN,MEDIUM,CHRYSLER,4372,5578,5222,6524,4837,6319,5724,7325,20166,5875,0,834,0,2009
50,2007,2,HYUNDAI,SONATA V6 3.3L V6 MP,Lim,4D SEDAN,BLUE,AUTO,Alloy,66578,OTHER ASIAN,MEDIUM,OTHER,9790,11349,11073,12757,9731,11403,11009,12815,20166,7795,0,728,1,2009
51,2004,5,HYUNDAI,ELANTRA 2.0L I4 MPI,GLS,4D SEDAN,RED,AUTO,Covers,81862,OTHER ASIAN,MEDIUM,OTHER,3652,4714,4444,5591,3408,4456,4181,5312,20166,4040,0,594,1,2009
52,2004,5,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,SILVER,AUTO,Covers,73693,AMERICAN,MEDIUM,CHRYSLER,2761,3901,3482,4713,2587,3570,3294,4356,20166,4865,0,1155,1,2009
53,2003,6,NISSAN,SENTRA 2.5L I-4 EFI,SE-,4D SEDAN SE-R,YELLOW,AUTO,Alloy,78106,TOP LINE ASIAN,COMPACT,OTHER,3364,4243,4133,5082,3252,3993,6398,7450,20166,5995,0,1220,0,2009
54,2004,5,DODGE,DURANGO 4WD V8 5.7L,SLT,4D SUV 5.7L SLT,WHITE,AUTO,Alloy,64436,AMERICAN,MEDIUM SUV,CHRYSLER,8989,10810,10208,12175,7407,8915,11416,12794,20166,10715,0,1411,0,2009
55,2007,2,HYUNDAI,SONATA 4C 2.4L I4 MP,GLS,4D SEDAN,BLACK,AUTO,Covers,72668,OTHER ASIAN,MEDIUM,OTHER,9725,10770,11003,12132,9725,10770,11003,12132,20166,6985,0,803,1,2009
56,2007,2,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN,SILVER,AUTO,Covers,53163,AMERICAN,MEDIUM,CHRYSLER,5962,6833,6939,7880,5471,6404,6409,7416,20166,6345,0,1086,0,2009
57,2007,3,SUZUKI,FORENZA,Bas,4D SEDAN,RED,MANUAL,Covers,78619,OTHER ASIAN,MEDIUM,OTHER,5370,6204,8806,10017,5140,6024,8511,9538,20166,4480,0,569,0,2010
58,2008,2,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,Covers,85364,AMERICAN,COMPACT,GM,7496,8087,10844,11416,6669,7185,9995,10483,20166,6000,0,853,0,2010
59,2004,6,HONDA,ACCORD 4C,EX,4D SEDAN EX AUTO,GREEN,AUTO,Alloy,83703,TOP LINE ASIAN,MEDIUM,OTHER,8097,9256,11011,11834,7967,8889,11777,13140,20166,10125,0,594,0,2010
60,2005,5,CHRYSLER,PACIFICA FWD,Bas,4D SPORT,SILVER,AUTO,Alloy,63774,AMERICAN,CROSSOVER,CHRYSLER,7478,8667,10417,11728,6659,8171,9948,11431,20166,8425,0,1215,0,2010
61,2003,7,FORD,WINDSTAR FWD V6,SEL,4D PASSENGER 3.8L SEL,GREEN,AUTO,Alloy,97399,AMERICAN,VAN,FORD,3997,5125,7149,8154,3968,5413,7545,9959,20166,4680,0,2506,0,2010
62,2006,4,MITSUBISHI,LANCER,ES,4D SEDAN ES,RED,AUTO,Covers,80135,OTHER ASIAN,COMPACT,OTHER,4991,6520,8047,9843,5355,6714,8798,10332,20166,4990,0,594,0,2010
63,2005,5,CHRYSLER,PT CRUISER,Bas,4D SEDAN,GOLD,AUTO,Covers,52257,AMERICAN,MEDIUM,CHRYSLER,4063,5216,7574,8756,3490,4500,7219,8099,20166,5700,0,1086,0,2010
64,2004,6,HONDA,ACCORD V6,EX,2D COUPE EX AUTO,WHITE,AUTO,Alloy,83292,TOP LINE ASIAN,MEDIUM,OTHER,7034,8699,10674,12210,6452,7953,10612,11842,20166,8290,0,1243,1,2010
65,2004,6,MINI,COOPER,Bas,2D COUPE,YELLOW,AUTO,Alloy,81188,OTHER,COMPACT,OTHER,8329,9794,11857,13597,8266,9572,11722,12671,20166,7580,0,3265,0,2010
66,2005,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,Alloy,75399,AMERICAN,COMPACT,CHRYSLER,2935,3841,6245,7138,3011,4031,5759,6770,20166,4805,0,686,1,2010
67,2005,5,FORD,FREESTAR FWD V6,S,PASSENGER 3.9L,GOLD,AUTO,Covers,71094,AMERICAN,VAN,FORD,4178,5662,8231,9554,5131,6345,8925,10234,20166,5270,0,1506,0,2010
68,2006,4,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 3.7L,BLUE,AUTO,Alloy,65259,AMERICAN,LARGE TRUCK,CHRYSLER,9835,12042,14462,16830,8499,10698,12696,14652,20166,11740,0,533,0,2010
69,2004,6,CHEVROLET,TRAILBLAZER EXT 4WD,Nor,4D SUV 4.2L LS,MAROON,AUTO,Alloy,83285,AMERICAN,MEDIUM SUV,GM,6966,8773,10984,12868,5823,7326,9752,11319,20166,9030,0,2152,0,2010
70,2003,7,NISSAN,MAXIMA,GLE,4D SEDAN GXE,WHITE,AUTO,Alloy,97543,TOP LINE ASIAN,LARGE,OTHER,4849,5978,8592,9824,4986,6189,8334,9453,20166,5990,0,1641,0,2010
71,2007,3,HYUNDAI,ACCENT,GS,2D COUPE GS,BLUE,AUTO,Covers,56391,OTHER ASIAN,COMPACT,OTHER,4861,5864,8265,8942,3905,5091,7387,8835,20166,5490,0,754,0,2010
72,2003,7,FORD,EXPLORER 4WD V6,XLT,4D SUV 4.0L FFV XLT,SILVER,AUTO,Alloy,81155,AMERICAN,MEDIUM SUV,FORD,5059,6445,8819,10220,5150,6518,8779,10001,20166,7320,0,2193,0,2010
73,2007,3,CHRYSLER,SEBRING 4C,Tou,4D SEDAN TOURING,GREY,AUTO,Alloy,57103,AMERICAN,MEDIUM,CHRYSLER,8059,9166,12213,13256,7303,8845,10669,12429,20166,6960,0,920,0,2010
74,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,BLACK,AUTO,Covers,74214,AMERICAN,SPECIALTY,CHRYSLER,10232,11433,14163,15522,10054,11360,14002,15390,20166,8930,0,1389,0,2010
75,2008,2,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,Covers,51764,AMERICAN,MEDIUM,CHRYSLER,7621,8574,11642,12466,7394,8561,11399,12675,20166,6760,0,754,0,2010
76,2005,5,DODGE,NEON,SXT,4D SEDAN,MAROON,AUTO,Alloy,67375,AMERICAN,COMPACT,CHRYSLER,3345,4367,6287,7755,3067,4147,6365,7592,20166,5750,0,630,0,2010
77,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,Covers,70819,AMERICAN,LARGE,GM,7571,8806,10692,11995,8440,9842,11617,13154,20166,8450,0,1974,0,2010
78,2005,5,TOYOTA,COROLLA,CE,4D SEDAN CE,GREY,AUTO,Covers,86497,TOP LINE ASIAN,COMPACT,OTHER,5627,6601,8687,9932,5805,6659,9040,10025,20166,7370,0,594,0,2010
79,2005,5,MITSUBISHI,GALANT V6,LS,4D SEDAN ES,SILVER,AUTO,Covers,58482,OTHER ASIAN,MEDIUM,OTHER,6267,7957,9737,11177,6190,7165,9441,10534,20166,7460,0,671,0,2010
80,2007,2,KIA,SPECTRA 2.0L I4 EFI,EX,4D SEDAN EX,WHITE,AUTO,Covers,48895,OTHER ASIAN,MEDIUM,OTHER,4264,5332,5105,6259,4455,5326,5311,6252,50111,6010,0,482,0,2009
81,2004,5,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,SILVER,AUTO,Covers,90938,AMERICAN,MEDIUM,CHRYSLER,2766,3805,3487,4609,2681,3891,3395,4702,50111,3900,0,1341,0,2009
82,2006,3,DODGE,MAGNUM V6 3.5L V6 MP,SE,WAGON 3.5L SXT,WHITE,AUTO,Alloy,73628,AMERICAN,SPECIALTY,CHRYSLER,8669,10525,9863,11867,8054,9651,9198,10923,50111,8725,0,1389,0,2009
83,2005,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,BLUE,AUTO,Covers,81872,AMERICAN,LARGE,GM,4404,5807,5256,6772,3781,4945,7110,8638,50111,5290,0,2152,0,2009
84,2004,5,SATURN,ION 2.0L I4 MPI,3,2D QUAD COUPE LEVEL 3,BLACK,MANUAL,Alloy,73730,AMERICAN,MEDIUM,GM,4767,6336,5648,7343,4304,5644,7229,8683,50111,4905,0,1038,0,2009
85,2006,3,FORD,TAURUS 3.0L V6 EFI /,SEL,4D SEDAN SEL,SILVER,AUTO,Alloy,78697,AMERICAN,MEDIUM,FORD,5363,6720,6292,7758,5330,6563,8779,10200,50111,5310,0,920,0,2009
86,2007,2,KIA,RONDO V6,EX,4D WAGON,BLACK,AUTO,Alloy,66256,OTHER ASIAN,CROSSOVER,OTHER,7609,8445,11818,12996,7873,9454,11560,13297,50111,8335,1,728,0,2009
87,2006,3,CHEVROLET,HHR,LT,4D SUV 2.2L LS,BLACK,AUTO,Alloy,60442,AMERICAN,MEDIUM,GM,5693,6842,9586,11299,5906,7043,9398,10850,50111,6725,1,728,0,2009
88,2007,2,SUBARU,FORESTER AWD,X,4D SPORT UTILITY 2.5X,SILVER,AUTO,Alloy,90667,OTHER ASIAN,SMALL SUV,OTHER,11490,14326,14773,17390,12162,14067,15269,17312,50111,9535,1,909,0,2009
89,2004,6,SATURN,ION,2,4D SEDAN LEVEL 2,SILVER,AUTO,Covers,79107,AMERICAN,MEDIUM,GM,3400,4411,6576,7853,3747,4766,6624,7730,50111,4515,1,803,0,2010
90,2007,3,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLACK,AUTO,Covers,59007,AMERICAN,MEDIUM,CHRYSLER,5488,6691,8878,10074,6151,7088,9363,10355,50111,5920,1,1086,0,2010
91,2005,5,FORD,FIVE HUNDRED,Lim,4D SEDAN LIMITED,GOLD,AUTO,Alloy,65614,AMERICAN,LARGE,FORD,6944,8643,10970,12877,6944,8643,10970,12877,50111,7725,0,1313,1,2010
92,2004,6,FORD,EXPLORER 4WD V6,XLT,4D SUV 4.0L FFV XLT,BLACK,AUTO,Alloy,69119,AMERICAN,MEDIUM SUV,FORD,6849,8281,10419,11980,6488,8084,10077,11692,50111,9735,1,1508,0,2010
93,2006,4,SUZUKI,FORENZA,Bas,4D SEDAN,BLACK,AUTO,Alloy,75822,OTHER ASIAN,MEDIUM,OTHER,4033,4912,6979,7885,3773,4637,7244,8162,50111,4795,1,569,1,2010
94,2007,3,TOYOTA,YARIS,Bas,4D SEDAN,WHITE,MANUAL,Covers,74161,TOP LINE ASIAN,COMPACT,OTHER,7192,8036,10431,11546,6906,7900,10607,11679,50111,6120,1,569,0,2010
95,2004,6,HONDA,ACCORD 4C,LX,4D SEDAN LX AUTO,BLUE,AUTO,Covers,79110,TOP LINE ASIAN,MEDIUM,OTHER,6988,7732,10001,10879,6623,7735,10099,11270,50111,8335,1,569,0,2010
96,2006,4,FORD,ESCAPE 2WD 4C,XLS,4D CUV 2.3L XLS,BLACK,AUTO,Alloy,63765,AMERICAN,SMALL SUV,FORD,6774,8471,10483,12167,6857,8631,9537,12583,50111,7525,1,825,0,2010
97,2008,2,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L,WHITE,AUTO,Alloy,60700,AMERICAN,SPECIALTY,CHRYSLER,11601,12521,15597,16350,11563,12605,15913,16460,50111,10570,1,1215,0,2010
98,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,WHITE,AUTO,Covers,80674,AMERICAN,MEDIUM,CHRYSLER,3549,4543,7027,8995,3666,4691,6807,8157,50111,5430,1,1503,1,2010
99,2006,4,KIA,SPORTAGE 2WD 4C,LX,4D SPORT UTILITY LX,BLUE,AUTO,Alloy,82231,OTHER ASIAN,SMALL SUV,OTHER,7246,8327,10576,11767,7412,9010,11076,14159,50111,7335,1,983,0,2010
100,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,Covers,72373,TOP LINE ASIAN,MEDIUM,OTHER,8394,10232,12277,13674,8135,9652,11526,12685,50111,8035,1,686,1,2010
101,2005,5,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,GREY,AUTO,Covers,74743,AMERICAN,COMPACT,GM,3048,3994,5938,6721,2606,3477,5788,6771,50111,5125,1,1155,0,2010
102,2006,4,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,BLUE,AUTO,Alloy,72988,AMERICAN,MEDIUM,CHRYSLER,4795,6006,8128,9114,4343,5732,8058,9328,50111,5330,1,1155,0,2010
103,2003,7,FORD,TAURUS,SES,4D SEDAN SES,BLUE,AUTO,Alloy,85716,AMERICAN,MEDIUM,FORD,2775,3833,5656,6789,2675,3693,5431,6884,50111,4925,1,1283,0,2010
104,2005,5,CHEVROLET,AVEO,LS,4D SEDAN,SILVER,AUTO,Alloy,58201,AMERICAN,COMPACT,GM,2571,3314,5593,6295,3207,3953,6240,7296,50111,4725,1,671,0,2010
105,2005,5,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,SILVER,AUTO,Alloy,96374,AMERICAN,VAN,CHRYSLER,4115,5327,7589,9825,3939,5177,7838,8674,72117,5165,0,1918,0,2010
106,2004,6,CHRYSLER,PT CRUISER,Lim,4D SEDAN LIMITED,GOLD,AUTO,Alloy,96014,AMERICAN,MEDIUM,CHRYSLER,3909,4495,7101,7776,3713,4682,6930,8074,72117,4180,0,1630,1,2010
107,2005,5,CHRYSLER,SEBRING 4C,Bas,4D SEDAN,WHITE,AUTO,Alloy,104861,AMERICAN,MEDIUM,CHRYSLER,3667,5049,6543,8222,3624,5072,6484,7850,72117,4165,0,1450,1,2010
108,2008,2,MERCURY,MILAN 4C,Bas,4D SEDAN,WHITE,AUTO,Alloy,75261,AMERICAN,MEDIUM,FORD,9373,10843,13537,14907,11338,12798,15011,16050,55369,8135,0,803,0,2010
109,2009,1,PONTIAC,G6 V6,Bas,4D SEDAN,BLACK,AUTO,Alloy,73721,AMERICAN,MEDIUM,GM,10391,11593,14595,15681,9832,10637,13633,14616,55369,8435,0,1272,0,2010
110,2008,2,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,WHITE,AUTO,Covers,85320,AMERICAN,LARGE,GM,7799,8672,11922,12650,8765,10063,12453,13718,55369,7955,1,2152,0,2010
111,2005,4,DODGE,MAGNUM V6 2.7L V6 MP,SE,WAGON 2.7L,BLUE,AUTO,Covers,67185,AMERICAN,SPECIALTY,CHRYSLER,6586,7649,7613,8761,6435,7498,7450,8598,38118,7950,0,1215,0,2009
112,2004,5,JEEP,LIBERTY 2WD V6 3.7L,Lim,4D SUV LIMITED,GOLD,AUTO,Alloy,73767,AMERICAN,SMALL SUV,CHRYSLER,6683,7353,7718,8441,6868,8128,7917,9278,38118,7435,0,686,0,2009
113,2004,5,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,GREY,AUTO,Covers,58669,AMERICAN,MEDIUM,CHRYSLER,4098,5006,4926,5906,3910,4687,4723,5562,38118,5335,0,1086,1,2009
114,2004,5,HONDA,ACCORD 4C 2.4L I-4 M,LX,4D SEDAN LX AUTO,SILVER,AUTO,Covers,81543,TOP LINE ASIAN,MEDIUM,OTHER,8141,9334,9292,10581,6967,8124,8024,9274,38118,6935,0,594,0,2009
115,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Bas,4D SEDAN,WHITE,AUTO,Covers,85199,AMERICAN,MEDIUM,GM,5990,7276,6969,8358,6091,7352,8760,10114,38118,5870,0,1113,0,2009
